model,utterance_id,language,original_text,translated_text,label,intensity,ground_truth,coaching_note,tone_alignment,actionability
ollama,1e01fda0-ab00-4681-9346-ab5bd8b4892a,en,this is absolutely unacceptable i wanna speak to your manager right now,this is absolutely unacceptable i wanna speak to your manager right now,Angry / Hostile,0.398,hostile,"Consider escalating this issue to a manager and offer to escalate further to a supervisor or executive if necessary, as the customer's escalating tone and emotion suggests a deeper concern that may require a more senior-level resolution.",3,3
ollama,1862ab6f-50f3-4d49-bbca-83d408880260,en,i have called five times and nobody has helped me what is wrong with you,i have called five times and nobody has helped me what is wrong with you,Angry / Hostile,0.451,hostile,"Consider escalating this customer's issue to a supervisor or manager, as their escalating emotions (Angry/Hostile) and increasing intensity (0.40, 0.73, 0.72, 0.45) suggest a significant concern that requires a higher level of expertise to resolve.",3,3
ollama,436db0b7-a8d2-4b89-aad6-25afb8c03655,en,stop putting me on hold i have been waiting for forty minutes,stop putting me on hold i have been waiting for forty minutes,Angry / Hostile,0.639,hostile,"The customer's escalating emotions and hostility suggest a breakdown in trust and frustration with the service. The supervisor should consider empathizing with the customer's experience, acknowledging the inconvenience and frustration, and reiterating the steps being taken to resolve the issue, while maintaining a calm and professional tone to de-escalate the situation.",3,3
ollama,b6b69b46-f8c7-4c61-902c-3737e0b4c0ce,en,this is the third time this has happened i am done with your company,this is the third time this has happened i am done with your company,Angry / Hostile,0.481,hostile,"The customer's escalating frustration is becoming overwhelming. Consider taking a deep breath and acknowledging their emotional state, then rephrase their statement to show empathy and understanding, while maintaining a calm tone, to de-escalate the situation and create an opportunity for a more constructive conversation.",3,3
ollama,3b997715-bfa1-4c30-a745-0f57297dcd27,en,i was charged twice for the same item last,i was charged twice for the same item last,Negative,0.186,neutral,"The customer is escalating their concern about the repeated issue, and their emotional intensity is increasing with each statement. Consider empathizing with their frustration by acknowledging the inconvenience they've experienced and offering a clear plan to resolve the issue, such as ""I apologize for the repeated errors, and I'm happy to help you resolve this. Can you please hold for just a moment while I look into this further and provide a more accurate update on your account?""",2,3
ollama,377120f0-6289-4413-a370-fee3ea4be8bf,it,chiaramente non sai quello che stai facendo è un disastro,you clearly don't know what you're doing it's a disaster,Angry / Hostile,0.608,hostile,"The customer's escalating emotions and language suggest a growing sense of frustration and helplessness, which may be leading to a more confrontational tone. Consider offering a calming pause to de-escalate the situation, allowing the customer to collect their thoughts before responding, and reiterate the supervisor's willingness to listen and assist.",3,3
ollama,a252ddee-8dbd-4d52-9ab5-15f99770cf89,es,todo salió perfectamente no podría estar más satisfecho,everything went perfectly I couldn't be more satisfied,Angry / Hostile,0.365,happy,"Consider a brief pause to acknowledge the customer's satisfaction and then ask if there's anything else they'd like to discuss or if there's a specific aspect of their experience they'd like to see improved, to avoid overwhelming the customer with gratitude.",1,1
openai,77155d86-be51-4e4e-a29e-ca36584b69e5,en,this is absolutely unacceptable i wanna speak to your manager right now,this is absolutely unacceptable i wanna speak to your manager right now,Angry / Hostile,0.403,hostile,"The call has shifted dramatically from positive and enthusiastic feedback to an expression of anger, indicating a potential issue or unmet expectation. Consider coaching the agent on de-escalation techniques to address the customer's concerns effectively and regain their trust.",3,2
openai,8944ae76-382a-43b4-ac54-766fe33c1c29,en,i have called five times and nobody has helped me what is wrong with you,i have called five times and nobody has helped me what is wrong with you,Angry / Hostile,0.448,hostile,"The customer has escalated to a high level of anger, indicating a significant service failure. Consider coaching the agent to acknowledge the customer's frustration empathetically and to prioritize de-escalation techniques in their response.",3,2
openai,6bdd7022-7182-467a-8906-3e44c3adb834,en,stop putting me on hold i have been waiting for forty minutes,stop putting me on hold i have been waiting for forty minutes,Angry / Hostile,0.641,hostile,"The customer is increasingly frustrated and feeling ignored, as indicated by their anger and high intensity in the latest response. Consider intervening to de-escalate the situation by offering a direct solution or escalating to a manager promptly to address their concerns.",3,3
openai,022e7989-8e52-4102-97af-e80b3f317958,en,this is the third time this has happened i am done with your comp,this is the third time this has happened i am done with your comp,Angry / Hostile,0.492,hostile,"The customer is expressing significant frustration and anger, indicating a pattern of unresolved issues. Consider guiding the agent to acknowledge the customer's repeated concerns and offer a clear resolution or escalation to address the situation effectively.",3,2
openai,fc6ca2cb-cd17-44a5-8d59-053299ed0ab4,en,i was charged twice for the same item last,i was charged twice for the same item last,Negative,0.174,neutral,"The customer is expressing dissatisfaction due to being overcharged, which aligns with their previous frustrations about service issues. Consider guiding the agent to acknowledge the customer's concerns empathetically and offer a clear resolution to restore their trust.",2,2
openai,8b08877c-b07b-49b0-854a-70baf075b6e2,it,chiaramente non sai quello che stai facendo è un disastro,you clearly don't know what you're doing it's a disaster,Angry / Hostile,0.596,hostile,"The customer is increasingly frustrated and has now expressed hostility, indicating a critical moment in the call. Consider intervening to de-escalate the situation by acknowledging their feelings and offering to connect them with a manager or provide a solution promptly.",3,3
